Model_Name,Exposure,Input_Only_Agreement,Input_Output_Agreement
Qwen2.5-1.5B-Instruct,500,0.847 ± 0.007,0.826 ± 0.005
Qwen2.5-1.5B-Instruct,1000,0.821 ± 0.004,0.817 ± 0.008
Qwen2.5-1.5B-Instruct,2000,0.803 ± 0.019,0.776 ± 0.043
TinyLlama-1.1B-Chat-v1.0,500,0.627 ± 0.146,0.827 ± 0.001
TinyLlama-1.1B-Chat-v1.0,1000,0.545 ± 0.280,0.827 ± 0.001
TinyLlama-1.1B-Chat-v1.0,2000,0.725 ± 0.096,0.819 ± 0.007
gemma-2b-it,500,0.743 ± 0.025,0.743 ± 0.025
gemma-2b-it,1000,0.639 ± 0.065,0.730 ± 0.016
gemma-2b-it,2000,0.661 ± 0.058,0.745 ± 0.049
phi-2,500,0.495 ± 0.155,0.686 ± 0.054
phi-2,1000,0.438 ± 0.223,0.701 ± 0.023
phi-2,2000,0.609 ± 0.120,0.695 ± 0.020
